1,憲法を改正すべきだ,説明文が入ります,/common/images/photo_img01.jpg
2,集団自衛権を行使できるようにすべき,説明文が入ります,/common/images/photo_img02.jpg
3,日本外交の優先順位はまず「米国」である,説明文が入ります,/common/images/photo_img03.jpg
4,国会議員の定数を半分に減らすべきだ,説明文が入ります,/common/images/photo_img04.jpg
5,2030年代までに、電力に締める原発の比率を0％にすべき,説明文が入ります,/common/images/photo_img05.jpg
6,公共事業による雇用確保は必要？,説明文が入ります,/common/images/photo_img06.jpg
7,５年以内の消費税率引き上げはやむをえない,説明文が入ります,/common/images/photo_img07.jpg
8,社会保障について税のかからない個人重視の小さな政府であるべき,説明文が入ります,/common/images/photo_img08.jpg
9,子育て・教育施策への所得制限を設けるべき,説明文が入ります,/common/images/photo_img09.jpg
10,日銀主導で大規模な金融緩和を行うべき,説明文が入ります,/common/images/photo_img10.jpg
11,TPPに参加すべき？,説明文が入ります,/common/images/photo_img11.jpg
12,正社員を解雇しやすくするべき？,説明文が入ります,/common/images/photo_img12.jpg
13,ダミー文,説明文が入ります,/common/images/photo_img13.jpg
14,永住外国人の地方参政権を認めるべきだ,説明文が入ります,/common/images/photo_img14.jpg
15,治安を守るためにプライバシーや個人の権利が制約されるのは当然だ,説明文が入ります,/common/images/photo_img15.jpg
